dt,x,y,position,velocity,acceleration,jerk,heading
0.005000,22.000000,-7.000000,0.000013,0.005000,1.000000,200.000000,0.000024
0.005000,22.000000,-7.000000,0.000063,0.015000,2.000000,200.000000,0.000023
0.005000,22.000000,-7.000000,0.000175,0.030000,3.000000,200.000000,0.000021
0.005000,22.000000,-7.000000,0.000375,0.050000,4.000000,200.000000,0.000017
0.005000,22.000000,-7.000000,0.000687,0.075000,5.000000,200.000000,0.000011
0.005000,22.000000,-7.000000,0.001138,0.105000,6.000000,200.000000,0.000002
0.005000,22.000487,-7.000000,0.001750,0.140000,7.000000,200.000000,6.283176
0.005000,22.001287,-7.000000,0.002550,0.180000,8.000000,200.000000,6.283160
0.005000,22.002299,-7.000000,0.003563,0.225000,9.000000,200.000000,6.283140
0.005000,22.003549,-7.000000,0.004813,0.275000,10.000000,200.000000,6.283116
0.005000,22.005062,-7.000000,0.006325,0.330000,11.000000,200.000000,6.283086
0.005000,22.006862,-7.000000,0.008125,0.390000,12.000000,200.000000,6.283051
0.005000,22.008974,-7.000001,0.010238,0.455000,13.000000,200.000000,6.283010
0.005000,22.011424,-7.000001,0.012688,0.525000,14.000000,200.000000,6.282962
0.005000,22.014237,-7.000002,0.015500,0.600000,15.000000,200.000000,6.282907
0.005000,22.017437,-7.000003,0.018700,0.680000,16.000000,200.000000,6.282844
0.005000,22.021049,-7.000004,0.022313,0.765000,17.000000,200.000000,6.282774
0.005000,22.025099,-7.000006,0.026363,0.855000,18.000000,200.000000,6.282694
0.005000,22.029612,-7.000009,0.030875,0.950000,19.000000,200.000000,6.282606
0.005000,22.034612,-7.000012,0.035875,1.050000,20.000000,200.000000,6.282508
0.005000,22.040124,-7.000016,0.041388,1.155000,21.000000,200.000000,6.282400
0.005000,22.046174,-7.000021,0.047438,1.265000,22.000000,200.000000,6.282282
0.005000,22.052787,-7.000027,0.054050,1.380000,23.000000,200.000000,6.282153
0.005000,22.059987,-7.000035,0.061250,1.500000,24.000000,200.000000,6.282012
0.005000,22.067799,-7.000045,0.069062,1.625000,25.000000,200.000000,6.281859
0.005000,22.076237,-7.000057,0.077500,1.750000,25.000000,0.000000,6.281694
0.005000,22.085299,-7.000071,0.086563,1.875000,25.000000,-0.000000,6.281516
0.005000,22.094987,-7.000088,0.096250,2.000000,25.000000,0.000000,6.281327
0.005000,22.105299,-7.000108,0.106563,2.125000,25.000000,0.000000,6.281125
0.005000,22.116237,-7.000132,0.117500,2.250000,25.000000,0.000000,6.280910
0.005000,22.127799,-7.000160,0.129062,2.375000,25.000000,0.000000,6.280684
0.005000,22.139987,-7.000192,0.141250,2.500000,25.000000,0.000000,6.280445
0.005000,22.152799,-7.000228,0.154062,2.625000,25.000000,0.000000,6.280194
0.005000,22.166237,-7.000270,0.167500,2.750000,25.000000,0.000000,6.279931
0.005000,22.180299,-7.000318,0.181562,2.875000,25.000000,0.000000,6.279655
0.005000,22.194986,-7.000372,0.196250,3.000000,25.000000,0.000000,6.279367
0.005000,22.210299,-7.000433,0.211562,3.125000,25.000000,0.000000,6.279066
0.005000,22.226236,-7.000501,0.227500,3.250000,25.000000,0.000000,6.278754
0.005000,22.242798,-7.000577,0.244062,3.375000,25.000000,0.000000,6.278429
0.005000,22.259986,-7.000662,0.261250,3.500000,25.000000,0.000000,6.278091
0.005000,22.277798,-7.000756,0.279062,3.625000,25.000000,-0.000000,6.277742
0.005000,22.296235,-7.000859,0.297500,3.750000,25.000000,0.000000,6.277380
0.005000,22.315297,-7.000974,0.316562,3.875000,25.000000,-0.000000,6.277005
0.005000,22.334984,-7.001099,0.336250,4.000000,25.000000,0.000000,6.276618
0.005000,22.355297,-7.001236,0.356563,4.125000,25.000000,0.000000,6.276219
0.005000,22.376233,-7.001387,0.377500,4.250000,25.000000,0.000000,6.275807
0.005000,22.397795,-7.001550,0.399062,4.375000,25.000000,0.000000,6.275383
0.005000,22.419982,-7.001728,0.421250,4.500000,25.000000,0.000000,6.274947
0.005000,22.442794,-7.001921,0.444063,4.625000,25.000000,0.000000,6.274498
