dt,x,y,position,velocity,acceleration,jerk,heading
0.005000,122.000000,58.000000,0.000091,0.036475,7.294950,1458.989910,3.141570
0.005000,122.000000,58.000000,0.000456,0.109424,14.589899,1458.989910,3.141577
0.005000,121.999967,58.000000,0.001277,0.218848,21.884849,1458.989910,3.141593
0.005000,121.998508,58.000000,0.002736,0.364747,29.179798,1458.989910,3.141622
0.005000,121.996228,58.000000,0.005015,0.547121,36.474748,1458.989910,3.141667
0.005000,121.992946,58.000000,0.008298,0.765970,43.769697,1458.989910,3.141731
0.005000,121.988478,57.999999,0.012766,1.021293,51.064647,1458.989910,3.141819
0.005000,121.982642,57.999997,0.018602,1.313091,58.359596,1458.989910,3.141934
0.005000,121.975255,57.999994,0.025988,1.641364,65.654546,1458.989910,3.142080
0.005000,121.966137,57.999989,0.035107,2.006111,72.949495,1458.989910,3.142259
0.005000,121.955103,57.999980,0.046141,2.407333,80.244445,1458.989910,3.142477
0.005000,121.941972,57.999967,0.059271,2.845030,87.539395,1458.989910,3.142735
0.005000,121.926562,57.999947,0.074682,3.319202,94.834344,1458.989910,3.143039
0.005000,121.908689,57.999918,0.092555,3.829849,102.129294,1458.989910,3.143392
0.005000,121.888172,57.999877,0.113072,4.376970,109.424243,1458.989910,3.143797
0.005000,121.864828,57.999820,0.136416,4.960566,116.719193,1458.989910,3.144259
0.005000,121.838567,57.999743,0.162677,5.544162,116.719193,0.000000,3.144778
0.005000,121.809387,57.999642,0.191857,6.127758,116.719193,0.000000,3.145357
0.005000,121.777289,57.999511,0.223955,6.711354,116.719193,-0.000000,3.145993
0.005000,121.742274,57.999344,0.258971,7.294950,116.719193,0.000000,3.146689
0.005000,121.704341,57.999137,0.296904,7.878546,116.719193,0.000000,3.147443
0.005000,121.663490,57.998881,0.337756,8.462141,116.719193,-0.000000,3.148257
0.005000,121.619721,57.998570,0.381526,9.045737,116.719193,0.000000,3.149130
0.005000,121.573035,57.998197,0.428214,9.629333,116.719193,-0.000000,3.150064
0.005000,121.523432,57.997752,0.477819,10.212929,116.719193,0.000000,3.151058
0.005000,121.470911,57.997227,0.530343,10.796525,116.719193,-0.000000,3.152112
0.005000,121.415472,57.996613,0.585784,11.380121,116.719193,0.000000,3.153227
0.005000,121.357117,57.995900,0.644144,11.963717,116.719193,0.000000,3.154404
0.005000,121.295845,57.995077,0.705422,12.547313,116.719193,0.000000,3.155642
0.005000,121.231656,57.994133,0.769617,13.130909,116.719193,0.000000,3.156943
0.005000,121.164552,57.993057,0.836731,13.714505,116.719193,0.000000,3.158306
0.005000,121.094531,57.991837,0.906762,14.298101,116.719193,-0.000000,3.159733
0.005000,121.021594,57.990459,0.979712,14.881697,116.719193,0.000000,3.161223
0.005000,120.945743,57.988911,1.055579,15.465293,116.719193,0.000000,3.162777
0.005000,120.866976,57.987179,1.134365,16.048889,116.719193,-0.000000,3.164396
0.005000,120.785296,57.985247,1.216068,16.632485,116.719193,0.000000,3.166081
0.005000,120.700701,57.983101,1.300690,17.216081,116.719193,-0.000000,3.167831
0.005000,120.613194,57.980725,1.388229,17.799677,116.719193,0.000000,3.169648
0.005000,120.522775,57.978102,1.478686,18.383273,116.719193,-0.000000,3.171532
0.005000,120.429444,57.975216,1.572062,18.966869,116.719193,0.000000,3.173484
0.005000,120.333203,57.972048,1.668355,19.550465,116.719193,0.000000,3.175505
