dt,x,y,position,velocity,acceleration,jerk,heading
0.005000,23.000000,-156.000000,0.000042,0.016953,3.390574,678.114708,0.000000
0.005000,23.000000,-156.000000,0.000212,0.050859,6.781147,678.114708,0.000000
0.005000,23.000000,-156.000000,0.000593,0.101717,10.171721,678.114708,0.000000
0.005000,23.000231,-156.000000,0.001271,0.169529,13.562294,678.114708,0.000000
0.005000,23.001291,-156.000000,0.002331,0.254293,16.952868,678.114708,0.000000
0.005000,23.002817,-156.000000,0.003857,0.356010,20.343441,678.114708,0.000000
0.005000,23.004894,-156.000000,0.005934,0.474680,23.734015,678.114708,0.000000
0.005000,23.007606,-156.000000,0.008646,0.610303,27.124588,678.114708,0.000000
0.005000,23.011039,-156.000000,0.012079,0.762879,30.515162,678.114708,0.000000
0.005000,23.015277,-156.000000,0.016317,0.932408,33.905735,678.114708,0.000000
0.005000,23.020405,-156.000000,0.021445,1.118889,37.296309,678.114708,0.000000
0.005000,23.026508,-156.000000,0.027548,1.322324,40.686883,678.114708,0.000000
0.005000,23.033671,-156.000000,0.034711,1.542711,44.077456,678.114708,0.000000
0.005000,23.041978,-156.000000,0.043018,1.780051,47.468030,678.114708,0.000000
0.005000,23.051514,-156.000000,0.052554,2.034344,50.858603,678.114708,0.000000
0.005000,23.062364,-156.000000,0.063404,2.305590,54.249177,678.114708,0.000000
0.005000,23.074612,-156.000000,0.075652,2.593789,57.639750,678.114708,0.000000
0.005000,23.088344,-156.000000,0.089384,2.898940,61.030324,678.114708,0.000000
0.005000,23.103644,-156.000000,0.104684,3.221045,64.420897,678.114708,0.000000
0.005000,23.120597,-156.000000,0.121637,3.560102,67.811471,678.114708,0.000000
0.005000,23.139287,-156.000000,0.140327,3.916112,71.202044,678.114708,0.000000
0.005000,23.159800,-156.000000,0.160840,4.289076,74.592618,678.114708,0.000000
0.005000,23.182220,-156.000000,0.183260,4.678991,77.983191,678.114708,0.000000
0.005000,23.206633,-156.000000,0.207673,5.085860,81.373765,678.114708,0.000000
0.005000,23.233121,-156.000000,0.234161,5.509682,84.764339,678.114708,0.000000
0.005000,23.261729,-156.000000,0.262769,5.933504,84.764339,-0.000000,0.000000
0.005000,23.292457,-156.000000,0.293497,6.357325,84.764339,0.000000,0.000000
0.005000,23.325303,-156.000000,0.326343,6.781147,84.764339,-0.000000,0.000000
0.005000,23.360268,-156.000000,0.361308,7.204969,84.764339,0.000000,0.000000
0.005000,23.397352,-156.000000,0.398392,7.628790,84.764339,0.000000,0.000000
0.005000,23.436556,-156.000000,0.437596,8.052612,84.764339,-0.000000,0.000000
0.005000,23.477879,-156.000000,0.478919,8.476434,84.764339,0.000000,0.000000
0.005000,23.521320,-156.000000,0.522360,8.900256,84.764339,0.000000,0.000000
0.005000,23.566881,-156.000000,0.567921,9.324077,84.764339,-0.000000,0.000000
0.005000,23.614561,-156.000000,0.615601,9.747899,84.764339,0.000000,0.000000
0.005000,23.664360,-156.000000,0.665400,10.171721,84.764339,0.000000,0.000000
0.005000,23.716278,-156.000000,0.717318,10.595542,84.764339,0.000000,0.000000
0.005000,23.770315,-156.000000,0.771355,11.019364,84.764339,-0.000000,0.000000
0.005000,23.826472,-156.000000,0.827512,11.443186,84.764339,0.000000,0.000000
0.005000,23.884747,-156.000000,0.885787,11.867007,84.764339,0.000000,0.000000
0.005000,23.945142,-156.000000,0.946182,12.290829,84.764339,0.000000,0.000000
0.005000,24.007656,-156.000000,1.008696,12.714651,84.764339,-0.000000,0.000000
0.005000,24.072288,-156.000000,1.073328,13.138472,84.764339,0.000000,0.000000
0.005000,24.139040,-156.000000,1.140080,13.562294,84.764339,-0.000000,0.000000
0.005000,24.207911,-156.000000,1.208951,13.986116,84.764339,0.000000,0.000000
0.005000,24.278902,-156.000000,1.279942,14.409938,84.764339,-0.000000,0.000000
0.005000,24.352011,-156.000000,1.353051,14.833759,84.764339,0.000000,0.000000
0.005000,24.427239,-156.000000,1.428279,15.257581,84.764339,-0.000000,0.000000
0.005000,24.504587,-156.000000,1.505627,15.681403,84.764339,0.000000,0.000000
0.005000,24.584053,-156.000000,1.585093,16.105224,84.764339,0.000000,0.000000
0.005000,24.665639,-156.000000,1.666679,16.529046,84.764339,0.000000,0.000000
0.005000,24.749344,-156.000000,1.750384,16.952868,84.764339,0.000000,0.000000
0.005000,24.835167,-156.000000,1.836207,17.376689,84.764339,0.000000,0.000000
0.005000,24.923110,-156.000000,1.924150,17.800511,84.764339,-0.000000,0.000000
0.005000,25.013173,-156.000000,2.014213,18.224333,84.764339,-0.000000,0.000000
0.005000,25.105354,-156.000000,2.106394,18.648154,84.764339,0.000000,0.000000
0.005000,25.199654,-156.000000,2.200694,19.071976,84.764339,-0.000000,0.000000
0.005000,25.296074,-156.000000,2.297114,19.495798,84.764339,0.000000,0.000000
0.005000,25.394612,-156.000000,2.395652,19.919620,84.764339,-0.000000,0.000000
0.005000,25.495270,-156.000000,2.496310,20.343441,84.764339,0.000000,0.000000
0.005000,25.598047,-156.000000,2.599087,20.767263,84.764339,-0.000000,0.000000
0.005000,25.702942,-156.000000,2.703982,21.191085,84.764339,0.000000,0.000000
0.005000,25.809957,-156.000000,2.810997,21.614906,84.764339,-0.000000,0.000000
0.005000,25.919091,-156.000000,2.920131,22.038728,84.764339,0.000000,0.000000
0.005000,26.030345,-156.000000,3.031385,22.462550,84.764339,-0.000000,0.000000
0.005000,26.143717,-156.000000,3.144757,22.886371,84.764339,0.000000,0.000000
0.005000,26.259208,-156.000000,3.260248,23.310193,84.764339,-0.000000,0.000000
0.005000,26.376819,-156.000000,3.377859,23.734015,84.764339,0.000000,0.000000
0.005000,26.496549,-156.000000,3.497589,24.157836,84.764339,-0.000000,0.000000
0.005000,26.618397,-156.000000,3.619437,24.581658,84.764339,0.000000,0.000000
