dt,x,y,position,velocity,acceleration,jerk,heading
0.005000,23.000000,156.000000,0.000012,0.004995,0.999028,199.805593,0.000000
0.005000,23.000000,156.000000,0.000062,0.014985,1.998056,199.805593,0.000000
0.005000,23.000000,156.000000,0.000175,0.029971,2.997084,199.805593,0.000000
0.005000,23.000000,156.000000,0.000375,0.049951,3.996112,199.805593,0.000000
0.005000,23.000000,156.000000,0.000687,0.074927,4.995140,199.805593,0.000000
0.005000,23.000096,156.000000,0.001136,0.104898,5.994168,199.805593,0.000000
0.005000,23.000708,156.000000,0.001748,0.139864,6.993196,199.805593,0.000000
0.005000,23.001508,156.000000,0.002548,0.179825,7.992224,199.805593,0.000000
0.005000,23.002519,156.000000,0.003559,0.224781,8.991252,199.805593,0.000000
0.005000,23.003768,156.000000,0.004808,0.274733,9.990280,199.805593,0.000000
0.005000,23.005279,156.000000,0.006319,0.329679,10.989308,199.805593,0.000000
0.005000,23.007077,156.000000,0.008117,0.389621,11.988336,199.805593,0.000000
0.005000,23.009188,156.000000,0.010228,0.454558,12.987364,199.805593,0.000000
0.005000,23.011635,156.000000,0.012675,0.524490,13.986392,199.805593,0.000000
0.005000,23.014445,156.000000,0.015485,0.599417,14.985419,199.805593,0.000000
0.005000,23.017642,156.000000,0.018682,0.679339,15.984447,199.805593,0.000000
0.005000,23.021251,156.000000,0.022291,0.764256,16.983475,199.805593,0.000000
0.005000,23.025297,156.000000,0.026337,0.854169,17.982503,199.805593,0.000000
0.005000,23.029805,156.000000,0.030845,0.949077,18.981531,199.805593,0.000000
0.005000,23.034800,156.000000,0.035840,1.048979,19.980559,199.805593,0.000000
0.005000,23.040307,156.000000,0.041347,1.153877,20.979587,199.805593,0.000000
0.005000,23.046351,156.000000,0.047391,1.263770,21.978615,199.805593,0.000000
0.005000,23.052957,156.000000,0.053997,1.378659,22.977643,199.805593,0.000000
0.005000,23.060150,156.000000,0.061190,1.498542,23.976671,199.805593,0.000000
0.005000,23.067955,156.000000,0.068995,1.623420,24.975699,199.805593,0.000000
0.005000,23.076385,156.000000,0.077425,1.748299,24.975699,-0.000000,0.000000
0.005000,23.085438,156.000000,0.086478,1.873177,24.975699,0.000000,0.000000
0.005000,23.095116,156.000000,0.096156,1.998056,24.975699,0.000000,0.000000
0.005000,23.105419,156.000000,0.106459,2.122934,24.975699,0.000000,0.000000
0.005000,23.116346,156.000000,0.117386,2.247813,24.975699,-0.000000,0.000000
0.005000,23.127897,156.000000,0.128937,2.372691,24.975699,0.000000,0.000000
0.005000,23.140073,156.000000,0.141113,2.497570,24.975699,0.000000,0.000000
0.005000,23.152873,156.000000,0.153913,2.622448,24.975699,-0.000000,0.000000
0.005000,23.166297,156.000000,0.167337,2.747327,24.975699,0.000000,0.000000
0.005000,23.180346,156.000000,0.181386,2.872205,24.975699,-0.000000,0.000000
0.005000,23.195019,156.000000,0.196059,2.997084,24.975699,0.000000,0.000000
0.005000,23.210317,156.000000,0.211357,3.121962,24.975699,-0.000000,0.000000
0.005000,23.226239,156.000000,0.227279,3.246841,24.975699,0.000000,0.000000
0.005000,23.242785,156.000000,0.243825,3.371719,24.975699,-0.000000,0.000000
0.005000,23.259956,156.000000,0.260996,3.496598,24.975699,0.000000,0.000000
0.005000,23.277751,156.000000,0.278791,3.621476,24.975699,0.000000,0.000000
0.005000,23.296171,156.000000,0.297211,3.746355,24.975699,-0.000000,0.000000
0.005000,23.315215,156.000000,0.316255,3.871233,24.975699,-0.000000,0.000000
0.005000,23.334883,156.000000,0.335923,3.996112,24.975699,0.000000,0.000000
0.005000,23.355176,156.000000,0.356216,4.120990,24.975699,-0.000000,0.000000
0.005000,23.376093,156.000000,0.377133,4.245869,24.975699,0.000000,0.000000
0.005000,23.397635,156.000000,0.398675,4.370747,24.975699,-0.000000,0.000000
0.005000,23.419801,156.000000,0.420841,4.495626,24.975699,0.000000,0.000000
0.005000,23.442591,156.000000,0.443631,4.620504,24.975699,0.000000,0.000000
0.005000,23.466006,156.000000,0.467046,4.745383,24.975699,-0.000000,0.000000
0.005000,23.490045,156.000000,0.491085,4.870261,24.975699,0.000000,0.000000
0.005000,23.514708,156.000000,0.515748,4.995140,24.975699,0.000000,0.000000
0.005000,23.539996,156.000000,0.541036,5.120018,24.975699,-0.000000,0.000000
0.005000,23.565908,156.000000,0.566948,5.244897,24.975699,0.000000,0.000000
0.005000,23.592445,156.000000,0.593485,5.369775,24.975699,0.000000,0.000000
0.005000,23.619606,156.000000,0.620646,5.494654,24.975699,0.000000,0.000000
0.005000,23.647392,156.000000,0.648432,5.619532,24.975699,0.000000,0.000000
0.005000,23.675801,156.000000,0.676841,5.744411,24.975699,-0.000000,0.000000
